{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '121.409', 'Đang điều trị': '71.247', 'Khác': '1', 'Hồi phục': '46.783', 'Tử vong[b]': '2.378'}
{'Tỉnh thành[a]': 'Bình Dương', 'Ca nhiễm': '28.061', 'Đang điều trị': '22.882', 'Khác': '0', 'Hồi phục': '3.936', 'Tử vong[b]': '243'}
{'Tỉnh thành[a]': 'Long An', 'Ca nhiễm': '10.121', 'Đang điều trị': '9.827', 'Khác': '0', 'Hồi phục': '187', 'Tử vong[b]': '107'}
{'Tỉnh thành[a]': 'Đồng Nai', 'Ca nhiễm': '8.078', 'Đang điều trị': '6.941', 'Khác': '0', 'Hồi phục': '1.072', 'Tử vong[b]': '65'}
{'Tỉnh thành[a]': 'Bắc Giang', 'Ca nhiễm': '5.964', 'Đang điều trị': '303', 'Khác': '0', 'Hồi phục': '5.649', 'Tử vong[b]': '12'}
{'Tỉnh thành[a]': 'Đồng Tháp', 'Ca nhiễm': '3.888', 'Đang điều trị': '3.743', 'Khác': '1', 'Hồi phục': '63', 'Tử vong[b]': '81'}
{'Tỉnh thành[a]': 'Khánh Hòa', 'Ca nhiễm': '3.638', 'Đang điều trị': '3.471', 'Khác': '0', 'Hồi phục': '134', 'Tử vong[b]': '33'}
{'Tỉnh thành[a]': 'Tiền Giang', 'Ca nhiễm': '3.153', 'Đang điều trị': '2.981', 'Khác': '1', 'Hồi phục': '57', 'Tử vong[b]': '84'}
{'Tỉnh thành[a]': 'Tây Ninh', 'Ca nhiễm': '2.560', 'Đang điều trị': '2.484', 'Khác': '0', 'Hồi phục': '65', 'Tử vong[b]': '11'}
{'Tỉnh thành[a]': 'Hà Nội', 'Ca nhiễm': '2.268', 'Đang điều trị': '1.623', 'Khác': '2', 'Hồi phục': '724', 'Tử vong[b]': '29'}
{'Tỉnh thành[a]': 'Bà Rịa - Vũng Tàu', 'Ca nhiễm': '2.386', 'Đang điều trị': '2.156', 'Khác': '0', 'Hồi phục': '128', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Đà Nẵng', 'Ca nhiễm': '1.976', 'Đang điều trị': '1.268', 'Khác': '3', 'Hồi phục': '663', 'Tử vong[b]': '42'}
{'Tỉnh thành[a]': 'Bắc Ninh', 'Ca nhiễm': '1.763', 'Đang điều trị': '142', 'Khác': '0', 'Hồi phục': '1.607', 'Tử vong[b]': '14'}
{'Tỉnh thành[a]': 'Phú Yên', 'Ca nhiễm': '1.723', 'Đang điều trị': '1.093', 'Khác': '0', 'Hồi phục': '625', 'Tử vong[b]': '5'}
{'Tỉnh thành[a]': 'Cần Thơ', 'Ca nhiễm': '1.698', 'Đang điều trị': '1.641', 'Khác': '0', 'Hồi phục': '35', 'Tử vong[b]': '22'}
{'Tỉnh thành[a]': 'Vĩnh Long', 'Ca nhiễm': '1.339', 'Đang điều trị': '1.279', 'Khác': '0', 'Hồi phục': '39', 'Tử vong[b]': '31'}
{'Tỉnh thành[a]': 'Bình Thuận', 'Ca nhiễm': '1.130', 'Đang điều trị': '1.112', 'Khác': '0', 'Hồi phục': '11', 'Tử vong[b]': '7'}
{'Tỉnh thành[a]': 'Bến Tre', 'Ca nhiễm': '1.096', 'Đang điều trị': '1.041', 'Khác': '0', 'Hồi phục': '20', 'Tử vong[b]': '35'}
{'Tỉnh thành[a]': 'Hải Dương', 'Ca nhiễm': '891', 'Đang điều trị': '73', 'Khác': '0', 'Hồi phục': '818', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'An Giang', 'Ca nhiễm': '530', 'Đang điều trị': '505', 'Khác': '0', 'Hồi phục': '21', 'Tử vong[b]': '4'}
{'Tỉnh thành[a]': 'Kiên Giang', 'Ca nhiễm': '507', 'Đang điều trị': '439', 'Khác': '0', 'Hồi phục': '66', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Trà Vinh', 'Ca nhiễm': '500', 'Đang điều trị': '485', 'Khác': '0', 'Hồi phục': '10', 'Tử vong[b]': '5'}
{'Tỉnh thành[a]': 'Sóc Trăng', 'Ca nhiễm': '395', 'Đang điều trị': '370', 'Khác': '0', 'Hồi phục': '19', 'Tử vong[b]': '6'}
{'Tỉnh thành[a]': 'Ninh Thuận', 'Ca nhiễm': '392', 'Đang điều trị': '378', 'Khác': '0', 'Hồi phục': '12', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Quảng Ngãi', 'Ca nhiễm': '365', 'Đang điều trị': '217', 'Khác': '0', 'Hồi phục': '147', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Đắk Lắk', 'Ca nhiễm': '351', 'Đang điều trị': '344', 'Khác': '0', 'Hồi phục': '7', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Bình Định', 'Ca nhiễm': '343', 'Đang điều trị': '277', 'Khác': '0', 'Hồi phục': '66', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Quảng Nam', 'Ca nhiễm': '330', 'Đang điều trị': '202', 'Khác': '0', 'Hồi phục': '124', 'Tử vong[b]': '4'}
{'Tỉnh thành[a]': 'Hưng Yên', 'Ca nhiễm': '301', 'Đang điều trị': '225', 'Khác': '0', 'Hồi phục': '76', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Hậu Giang', 'Ca nhiễm': '293', 'Đang điều trị': '282', 'Khác': '0', 'Hồi phục': '10', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Nghệ An', 'Ca nhiễm': '278', 'Đang điều trị': '192', 'Khác': '0', 'Hồi phục': '85', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Bình Phước', 'Ca nhiễm': '264', 'Đang điều trị': '260', 'Khác': '0', 'Hồi phục': '4', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Vĩnh Phúc', 'Ca nhiễm': '253', 'Đang điều trị': '138', 'Khác': '0', 'Hồi phục': '114', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Hà Tĩnh', 'Ca nhiễm': '225', 'Đang điều trị': '123', 'Khác': '0', 'Hồi phục': '100', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Gia Lai', 'Ca nhiễm': '209', 'Đang điều trị': '178', 'Khác': '0', 'Hồi phục': '31', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Thanh Hóa', 'Ca nhiễm': '146', 'Đang điều trị': '117', 'Khác': '0', 'Hồi phục': '29', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Lạng Sơn', 'Ca nhiễm': '142', 'Đang điều trị': '42', 'Khác': '0', 'Hồi phục': '99', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Đắk Nông', 'Ca nhiễm': '125', 'Đang điều trị': '124', 'Khác': '0', 'Hồi phục': '1', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Thừa Thiên – Huế', 'Ca nhiễm': '122', 'Đang điều trị': '115', 'Khác': '0', 'Hồi phục': '7', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Bạc Liêu', 'Ca nhiễm': '111', 'Đang điều trị': '59', 'Khác': '0', 'Hồi phục': '52', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Quảng Ninh', 'Ca nhiễm': '104', 'Đang điều trị': '14', 'Khác': '0', 'Hồi phục': '90', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Thái Bình', 'Ca nhiễm': '98', 'Đang điều trị': '35', 'Khác': '0', 'Hồi phục': '63', 'Tử vong[b]': '0'}
