{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '125.760', 'Đang điều trị': '68.643', 'Khác': '1', 'Hồi phục': '52.630', 'Tử vong[b]': '2.486'}
{'Tỉnh thành[a]': 'Bình Dương', 'Ca nhiễm': '31.519', 'Đang điều trị': '26.310', 'Khác': '0', 'Hồi phục': '5.663', 'Tử vong[b]': '176'}
{'Tỉnh thành[a]': 'Long An', 'Ca nhiễm': '10.408', 'Đang điều trị': '10.109', 'Khác': '0', 'Hồi phục': '187', 'Tử vong[b]': '112'}
{'Tỉnh thành[a]': 'Đồng Nai', 'Ca nhiễm': '8.485', 'Đang điều trị': '7.348', 'Khác': '0', 'Hồi phục': '1.072', 'Tử vong[b]': '65'}
{'Tỉnh thành[a]': 'Bắc Giang', 'Ca nhiễm': '5.964', 'Đang điều trị': '303', 'Khác': '0', 'Hồi phục': '5.649', 'Tử vong[b]': '12'}
{'Tỉnh thành[a]': 'Đồng Tháp', 'Ca nhiễm': '3.950', 'Đang điều trị': '3.805', 'Khác': '1', 'Hồi phục': '63', 'Tử vong[b]': '81'}
{'Tỉnh thành[a]': 'Khánh Hòa', 'Ca nhiễm': '3.839', 'Đang điều trị': '3.672', 'Khác': '0', 'Hồi phục': '134', 'Tử vong[b]': '33'}
{'Tỉnh thành[a]': 'Tiền Giang', 'Ca nhiễm': '3.153', 'Đang điều trị': '2.981', 'Khác': '1', 'Hồi phục': '57', 'Tử vong[b]': '84'}
{'Tỉnh thành[a]': 'Tây Ninh', 'Ca nhiễm': '2.732', 'Đang điều trị': '2.656', 'Khác': '0', 'Hồi phục': '65', 'Tử vong[b]': '11'}
{'Tỉnh thành[a]': 'Bà Rịa - Vũng Tàu', 'Ca nhiễm': '2.563', 'Đang điều trị': '2.333', 'Khác': '0', 'Hồi phục': '128', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Hà Nội', 'Ca nhiễm': '2.323', 'Đang điều trị': '1.670', 'Khác': '2', 'Hồi phục': '732', 'Tử vong[b]': '29'}
{'Tỉnh thành[a]': 'Đà Nẵng', 'Ca nhiễm': '2.044', 'Đang điều trị': '1.336', 'Khác': '3', 'Hồi phục': '663', 'Tử vong[b]': '42'}
{'Tỉnh thành[a]': 'Cần Thơ', 'Ca nhiễm': '1.796', 'Đang điều trị': '1.739', 'Khác': '0', 'Hồi phục': '35', 'Tử vong[b]': '22'}
{'Tỉnh thành[a]': 'Bắc Ninh', 'Ca nhiễm': '1.763', 'Đang điều trị': '142', 'Khác': '0', 'Hồi phục': '1.607', 'Tử vong[b]': '14'}
{'Tỉnh thành[a]': 'Phú Yên', 'Ca nhiễm': '1.783', 'Đang điều trị': '1.153', 'Khác': '0', 'Hồi phục': '625', 'Tử vong[b]': '5'}
{'Tỉnh thành[a]': 'Vĩnh Long', 'Ca nhiễm': '1.396', 'Đang điều trị': '1.326', 'Khác': '0', 'Hồi phục': '39', 'Tử vong[b]': '31'}
{'Tỉnh thành[a]': 'Bình Thuận', 'Ca nhiễm': '1.176', 'Đang điều trị': '1.158', 'Khác': '0', 'Hồi phục': '11', 'Tử vong[b]': '7'}
{'Tỉnh thành[a]': 'Bến Tre', 'Ca nhiễm': '1.116', 'Đang điều trị': '1.061', 'Khác': '0', 'Hồi phục': '20', 'Tử vong[b]': '35'}
{'Tỉnh thành[a]': 'Hải Dương', 'Ca nhiễm': '899', 'Đang điều trị': '81', 'Khác': '0', 'Hồi phục': '818', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'An Giang', 'Ca nhiễm': '584', 'Đang điều trị': '559', 'Khác': '0', 'Hồi phục': '21', 'Tử vong[b]': '4'}
