{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '181.482', 'Đang điều trị': '82.675', 'Khác': '1', 'Hồi phục': '91.518', 'Tử vong[b]': '7.288'}
{'Tỉnh thành[a]': 'Bình Dương', 'Ca nhiễm': '76.979', 'Đang điều trị': '48.011', 'Khác': '0', 'Hồi phục': '31.085', 'Tử vong[b]': '604'}
{'Tỉnh thành[a]': 'Long An', 'Ca nhiễm': '19.209', 'Đang điều trị': '11.200', 'Khác': '0', 'Hồi phục': '7.778', 'Tử vong[b]': '231'}
{'Tỉnh thành[a]': 'Đồng Nai', 'Ca nhiễm': '18.694', 'Đang điều trị': '11.946', 'Khác': '0', 'Hồi phục': '6.612', 'Tử vong[b]': '136'}
{'Tỉnh thành[a]': 'Tiền Giang', 'Ca nhiễm': '9.428', 'Đang điều trị': '4.040', 'Khác': '1', 'Hồi phục': '4.178', 'Tử vong[b]': '209'}
{'Tỉnh thành[a]': 'Đồng Tháp', 'Ca nhiễm': '6.025', 'Đang điều trị': '3.760', 'Khác': '1', 'Hồi phục': '2.143', 'Tử vong[b]': '121'}
{'Tỉnh thành[a]': 'Bắc Giang', 'Ca nhiễm': '6.010', 'Đang điều trị': '222', 'Khác': '0', 'Hồi phục': '5.775', 'Tử vong[b]': '13'}
{'Tỉnh thành[a]': 'Khánh Hòa', 'Ca nhiễm': '5.982', 'Đang điều trị': '2.841', 'Khác': '0', 'Hồi phục': '3.101', 'Tử vong[b]': '40'}
{'Tỉnh thành[a]': 'Tây Ninh', 'Ca nhiễm': '4.389', 'Đang điều trị': '2.197', 'Khác': '0', 'Hồi phục': '2.126', 'Tử vong[b]': '66'}
{'Tỉnh thành[a]': 'Đà Nẵng', 'Ca nhiễm': '3.901', 'Đang điều trị': '3.182', 'Khác': '3', 'Hồi phục': '663', 'Tử vong[b]': '53'}
{'Tỉnh thành[a]': 'Cần Thơ', 'Ca nhiễm': '3.602', 'Đang điều trị': '2.539', 'Khác': '0', 'Hồi phục': '1.001', 'Tử vong[b]': '62'}
{'Tỉnh thành[a]': 'Bà Rịa – Vũng Tàu', 'Ca nhiễm': '3.534', 'Đang điều trị': '1.982', 'Khác': '0', 'Hồi phục': '1.524', 'Tử vong[b]': '28'}
{'Tỉnh thành[a]': 'Hà Nội', 'Ca nhiễm': '3.161', 'Đang điều trị': '2.379', 'Khác': '2', 'Hồi phục': '740', 'Tử vong[b]': '40'}
{'Tỉnh thành[a]': 'Phú Yên', 'Ca nhiễm': '2.511', 'Đang điều trị': '1.286', 'Khác': '0', 'Hồi phục': '1.210', 'Tử vong[b]': '15'}
{'Tỉnh thành[a]': 'Vĩnh Long', 'Ca nhiễm': '2.049', 'Đang điều trị': '1.387', 'Khác': '0', 'Hồi phục': '618', 'Tử vong[b]': '44'}
{'Tỉnh thành[a]': 'Bắc Ninh', 'Ca nhiễm': '1.853', 'Đang điều trị': '231', 'Khác': '0', 'Hồi phục': '1.608', 'Tử vong[b]': '14'}
