{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '129.892', 'Đang điều trị': '73.275', 'Khác': '1', 'Hồi phục': '52.630', 'Tử vong[b]': '2.217'}
{'Tỉnh thành[a]': 'Bình Dương', 'Ca nhiễm': '34.006', 'Đang điều trị': '27.641', 'Khác': '0', 'Hồi phục': '6.188', 'Tử vong[b]': '177'}
{'Tỉnh thành[a]': 'Long An', 'Ca nhiễm': '10.721', 'Đang điều trị': '10.419', 'Khác': '0', 'Hồi phục': '187', 'Tử vong[b]': '115'}
{'Tỉnh thành[a]': 'Đồng Nai', 'Ca nhiễm': '9.194', 'Đang điều trị': '8.019', 'Khác': '0', 'Hồi phục': '1.072', 'Tử vong[b]': '103'}
{'Tỉnh thành[a]': 'Bắc Giang', 'Ca nhiễm': '5.965', 'Đang điều trị': '304', 'Khác': '0', 'Hồi phục': '5.649', 'Tử vong[b]': '12'}
{'Tỉnh thành[a]': 'Đồng Tháp', 'Ca nhiễm': '4.022', 'Đang điều trị': '3.875', 'Khác': '1', 'Hồi phục': '63', 'Tử vong[b]': '83'}
{'Tỉnh thành[a]': 'Khánh Hòa', 'Ca nhiễm': '3.872', 'Đang điều trị': '3.704', 'Khác': '0', 'Hồi phục': '134', 'Tử vong[b]': '34'}
{'Tỉnh thành[a]': 'Tiền Giang', 'Ca nhiễm': '3.504', 'Đang điều trị': '3.293', 'Khác': '1', 'Hồi phục': '87', 'Tử vong[b]': '123'}
{'Tỉnh thành[a]': 'Tây Ninh', 'Ca nhiễm': '2.974', 'Đang điều trị': '2.887', 'Khác': '0', 'Hồi phục': '75', 'Tử vong[b]': '12'}
{'Tỉnh thành[a]': 'Bà Rịa - Vũng Tàu', 'Ca nhiễm': '2.737', 'Đang điều trị': '2.507', 'Khác': '0', 'Hồi phục': '128', 'Tử vong[b]': '2'}
{'Tỉnh thành[a]': 'Hà Nội', 'Ca nhiễm': '2.398', 'Đang điều trị': '1.635', 'Khác': '2', 'Hồi phục': '732', 'Tử vong[b]': '29'}
{'Tỉnh thành[a]': 'Đà Nẵng', 'Ca nhiễm': '2.104', 'Đang điều trị': '1.396', 'Khác': '3', 'Hồi phục': '663', 'Tử vong[b]': '42'}
{'Tỉnh thành[a]': 'Cần Thơ', 'Ca nhiễm': '1.890', 'Đang điều trị': '1.831', 'Khác': '0', 'Hồi phục': '35', 'Tử vong[b]': '24'}
{'Tỉnh thành[a]': 'Phú Yên', 'Ca nhiễm': '1.849', 'Đang điều trị': '1.219', 'Khác': '0', 'Hồi phục': '625', 'Tử vong[b]': '15'}
{'Tỉnh thành[a]': 'Bắc Ninh', 'Ca nhiễm': '1.763', 'Đang điều trị': '142', 'Khác': '0', 'Hồi phục': '1.607', 'Tử vong[b]': '14'}
{'Tỉnh thành[a]': 'Vĩnh Long', 'Ca nhiễm': '1.448', 'Đang điều trị': '1.376', 'Khác': '0', 'Hồi phục': '39', 'Tử vong[b]': '33'}
{'Tỉnh thành[a]': 'Bình Thuận', 'Ca nhiễm': '1.210', 'Đang điều trị': '1.192', 'Khác': '0', 'Hồi phục': '11', 'Tử vong[b]': '7'}
{'Tỉnh thành[a]': 'Bến Tre', 'Ca nhiễm': '1.174', 'Đang điều trị': '1.119', 'Khác': '0', 'Hồi phục': '20', 'Tử vong[b]': '35'}
